Winning Team,Losing Team,Winning Team Score,Losing Team Score,Overs played by winning Team,Overs played by losing Team,Wickets taken by losing Team,Wickets taken by Winning Team,Match Venue
Mumbai Indians,Rising Pune Supergiant,129,128,    20,"         
                    20",8,5,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad\n            ']"
Mumbai Indians,Kolkata Knight Riders,111,107,    14.3,           18.5,4,2,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Kolkata Knight Riders,Sunrisers Hyderabad,48,128,"   5.2/6
                
","      
                    20",3,7,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Rising Pune Supergiant,Mumbai Indians,162,142,    20," 
                    20",4,9,"[' Wankhede Stadium', ' Mumbai\n            ']"
Royal Challengers Bangalore,Delhi Capitals,161,151,    20,    20,6,2,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Rising Pune Supergiant,Punjab Kings,78,73,   12, 15.5,1,2,"["" Maharashtra Cricket Association's International Stadium"", ' Pune\n            ']"
Mumbai Indians,Kolkata Knight Riders,173,164,    20,"        
                    20",5,8,"[' Eden Gardens', ' Kolkata\n            ']"
Sunrisers Hyderabad,Gujarat Lions,158,154,    18.1,   19.2,2,2,"[' Green Park', ' Kanpur\n            ']"
Delhi Capitals,Rising Pune Supergiant,168,161,    20,"         
                    20",8,7,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Punjab Kings,Mumbai Indians,230,223,    20," 
                    20",3,6,"[' Wankhede Stadium', ' Mumbai\n            ']"
Delhi Capitals,Gujarat Lions,197,195,    19.4,"
                    20",8,5,"[' Green Park', ' Kanpur\n            ']"
Punjab Kings,Kolkata Knight Riders,167,153,    20,"        
                    20",6,6,"[' IS Bindra Stadium', ' Mohali\n            ']"
Sunrisers Hyderabad,Mumbai Indians,140,138,    18.2," 
                    20",3,7,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad\n            ']"
Gujarat Lions,Punjab Kings,192,189,    19.4,                    20,4,3,"[' IS Bindra Stadium', ' Mohali\n            ']"
Kolkata Knight Riders,Royal Challengers Bangalore,159,158,    15.1,"              
                    20",4,6,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Mumbai Indians,Delhi Capitals,212,66,    20,   13.4,3,2,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Rising Pune Supergiant,Sunrisers Hyderabad,148,136,    20,"      
                    20",8,9,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad\n            ']"
Punjab Kings,Royal Challengers Bangalore,138,119,    20,                 19,7,2,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Delhi Capitals,Gujarat Lions,214,208,    17.3,"
                    20",3,7,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Rising Pune Supergiant,Kolkata Knight Riders,158,155,    19.2,"        
                    20",6,8,"[' Eden Gardens', ' Kolkata\n            ']"
Delhi Capitals,Sunrisers Hyderabad,189,185,    19.1,"      
                    20",4,3,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Rising Pune Supergiant,Gujarat Lions,167,161,    19.5,   19.5,5,2,"["" Maharashtra Cricket Association's International Stadium"", ' Pune\n            ']"
Mumbai Indians,Royal Challengers Bangalore,165,162,    19.5,"              
                    20",5,8,"[' Wankhede Stadium', ' Mumbai\n            ']"
Sunrisers Hyderabad,Kolkata Knight Riders,209,161,    20,"        
                    20",3,7,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad\n            ']"
Punjab Kings,Delhi Capitals,68,67,   7.5,   17.1,0,2,"[' IS Bindra Stadium', ' Mohali\n            ']"
Mumbai Indians,Gujarat Lions,153,153,,"
                    20",2,9,"[' Saurashtra Cricket Association Stadium', ' Rajkot\n            ']"
Rising Pune Supergiant,Royal Challengers Bangalore,157,96,    20,"             
                    20",3,9,"["" Maharashtra Cricket Association's International Stadium"", ' Pune\n            ']"
Sunrisers Hyderabad,Punjab Kings,207,181,    20,                    20,3,9,"[' IS Bindra Stadium', ' Mohali\n            ']"
Kolkata Knight Riders,Delhi Capitals,161,160,    16.2," 
                    20",3,6,"[' Eden Gardens', ' Kolkata\n            ']"
Gujarat Lions,Royal Challengers Bangalore,135,134,    13.5,                 20,3,2,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Kolkata Knight Riders,Rising Pune Supergiant,184,182,    18.1,"         
                    20",3,5,"["" Maharashtra Cricket Association's International Stadium"", ' Pune\n            ']"
Rising Pune Supergiant,Mumbai Indians,160,157,    20," 
                    20",6,8,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Kolkata Knight Riders,Royal Challengers Bangalore,131,49,,                9.4,2,2,"[' Wankhede Stadium', ' Mumbai\n            ']"
Punjab Kings,Gujarat Lions,188,162,    20,"
                    20",7,7,"[' Eden Gardens', ' Kolkata\n            ']"
Mumbai Indians,Delhi Capitals,142,128,    20," 
                    20",8,7,"[' Saurashtra Cricket Association Stadium', ' Rajkot\n            ']"
Rising Pune Supergiant,Sunrisers Hyderabad,179,176,    20,"      
                    20",4,3,"[' Wankhede Stadium', ' Mumbai\n            ']"
Gujarat Lions,Kolkata Knight Riders,188,187,    18.2,"        
                    20",6,5,"["" Maharashtra Cricket Association's International Stadium"", ' Pune\n            ']"
Mumbai Indians,Punjab Kings,199,198,    15.3,                    20,2,4,"[' Eden Gardens', ' Kolkata\n            ']"
Sunrisers Hyderabad,Delhi Capitals,191,176,    20," 
                    20",4,5,"[' Holkar Cricket Stadium', ' Indore\n            ']"
Royal Challengers Bangalore,Gujarat Lions,213,192,    20,"
                    20",2,7,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad\n            ']"
Sunrisers Hyderabad,Punjab Kings,159,154,    20,  19.4,6,2,"[' Saurashtra Cricket Association Stadium', ' Rajkot\n            ']"
Kolkata Knight Riders,Delhi Capitals,169,168,    19.5," 
                    20",6,7,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad\n            ']"
Rising Pune Supergiant,Royal Challengers Bangalore,161,134,    20,"              
                    20",8,9,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Mumbai Indians,Gujarat Lions,177,176,    19.3,"
                    20",4,4,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Delhi Capitals,Punjab Kings,188,137,    20,                    20,6,9,"[' Wankhede Stadium', ' Mumbai\n            ']"
Kolkata Knight Riders,Sunrisers Hyderabad,172,155,    20,"      
                    20",6,6,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Gujarat Lions,Rising Pune Supergiant,172,171,    18,"         
                    20",3,8,"[' Eden Gardens', ' Kolkata\n            ']"
Mumbai Indians,Royal Challengers Bangalore,145,142,    18.5,"              
                    20",6,5,"[' Saurashtra Cricket Association Stadium', ' Rajkot\n            ']"
Kolkata Knight Riders,Punjab Kings,171,170,    16.3,                    20,2,9,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Mumbai Indians,Sunrisers Hyderabad,159,158,    18.4,"      
                    20",6,8,"[' Eden Gardens', ' Kolkata\n            ']"
