Winning Team,Losing Team,Winning Team Score,Losing Team Score,Overs played by winning Team,Overs played by losing Team,Wickets taken by losing Team,Wickets taken by Winning Team,Match Venue
Punjab Kings,Delhi Capitals,165,164,    19.4," 
                    20",6,7,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Mumbai Indians,Rajasthan Royals,178,153,    20,"   
                    20",3,8,"[' Narendra Modi Stadium', ' Ahmedabad\n            ']"
Kolkata Knight Riders,Sunrisers Hyderabad,146,142,    19.4,"      
                    20",3,8,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad\n            ']"
Royal Challengers Bangalore,Chennai Super Kings,142,138,    19.5,"      
                    20",5,4,"[' JSCA International Cricket Stadium', ' Ranchi\n            ']"
Rajasthan Royals,Delhi Capitals,201,139,    20," 
                    20",6,9,"[' Narendra Modi Stadium', ' Ahmedabad\n            ']"
Kolkata Knight Riders,Mumbai Indians,142,141,    18.4," 
                    20",4,5,"[' Barabati Stadium', ' Cuttack\n            ']"
Punjab Kings,Sunrisers Hyderabad,211,205,    18.4,"      
                    20",4,5,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad\n            ']"
Royal Challengers Bangalore,Delhi Capitals,186,170,    20," 
                    20",4,7,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Chennai Super Kings,Rajasthan Royals,149,148,    19.4,"   
                    20",5,8,"[' JSCA International Cricket Stadium', ' Ranchi\n            ']"
Mumbai Indians,Sunrisers Hyderabad,160,157,    18.4,"      
                    20",3,3,"[' Rajiv Gandhi Intl. Cricket Stadium', ' Hyderabad\n            ']"
Rajasthan Royals,Royal Challengers Bangalore,191,190,    18.5,"              
                    20",5,5,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Kolkata Knight Riders,Punjab Kings,150,149,    18,                    20,1,8,"[' Barabati Stadium', ' Cuttack\n            ']"
Chennai Super Kings,Mumbai Indians,160,157,    19.3," 
                    20",6,6,"[' Wankhede Stadium', ' Mumbai\n            ']"
Sunrisers Hyderabad,Delhi Capitals,44,143,"   4.2/5
                
"," 
                    20",2,7,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Punjab Kings,Royal Challengers Bangalore,198,166,    20,"              
                    20",8,9,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Sunrisers Hyderabad,Rajasthan Royals,134,102,    20,      19.5,9,2,"[' Narendra Modi Stadium', ' Ahmedabad\n            ']"
Punjab Kings,Chennai Super Kings,231,187,    20,"      
                    20",4,6,"[' Barabati Stadium', ' Cuttack\n            ']"
Kolkata Knight Riders,Delhi Capitals,161,160,    18.2," 
                    20",2,5,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Mumbai Indians,Royal Challengers Bangalore,187,168,    20,"              
                    20",5,8,"[' Wankhede Stadium', ' Mumbai\n            ']"
Chennai Super Kings,Delhi Capitals,181,178,    19.4," 
                    20",2,5,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Rajasthan Royals,Kolkata Knight Riders,170,160,    20,"        
                    20",6,6,"[' Narendra Modi Stadium', ' Ahmedabad\n            ']"
Royal Challengers Bangalore,Sunrisers Hyderabad,158,155,    19.5,"      
                    20",6,6,"[' M. Chinnaswamy Stadium', ' Bengaluru\n            ']"
Rajasthan Royals,Delhi Capitals,156,152,    18.3," 
                    20",3,5,"[' Arun Jaitley Stadium', ' Delhi\n            ']"
Mumbai Indians,Punjab Kings,170,168,    19.1,                    20,5,5,"[' Wankhede Stadium', ' Mumbai\n            ']"
Chennai Super Kings,Kolkata Knight Riders,148,114,"    17/17
                
","        
                    17/17
                

",3,9,"[' JSCA International Cricket Stadium', ' Ranchi\n            ']"
Sunrisers Hyderabad,Mumbai Indians,172,157,    20," 
                    20",5,7,"[' Dubai International Stadium', ' Dubai\n            ']"
Rajasthan Royals,Kolkata Knight Riders,152,152,    20,"        
                    20",5,8,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
Punjab Kings,Royal Challengers Bangalore,127,124,    18.5,"              
                    20",5,8,"[' Dubai International Stadium', ' Dubai\n            ']"
Chennai Super Kings,Sunrisers Hyderabad,146,145,    19.3,"      
                    20",5,5,"[' Sharjah Cricket Stadium', ' Sharjah\n            ']"
Delhi Capitals,Mumbai Indians,126,125,    18.5," 
                    20",4,6,"[' Sharjah Cricket Stadium', ' Sharjah\n            ']"
Punjab Kings,Kolkata Knight Riders,132,109,    20,           18.2,9,2,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
Rajasthan Royals,Royal Challengers Bangalore,71,70,   13,                15,4,2,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
Chennai Super Kings,Mumbai Indians,142,141,    19," 
                    20",3,7,"[' Dubai International Stadium', ' Dubai\n            ']"
Sunrisers Hyderabad,Delhi Capitals,184,180,    20," 
                    20",1,4,"[' Dubai International Stadium', ' Dubai\n            ']"
Kolkata Knight Riders,Royal Challengers Bangalore,150,148,    20,"              
                    20",7,5,"[' Sharjah Cricket Stadium', ' Sharjah\n            ']"
Chennai Super Kings,Rajasthan Royals,140,133,    20,      19.5,6,2,"[' Dubai International Stadium', ' Dubai\n            ']"
Punjab Kings,Sunrisers Hyderabad,193,121,    20,         19.2,6,2,"[' Sharjah Cricket Stadium', ' Sharjah\n            ']"
Chennai Super Kings,Delhi Capitals,177,84,    20,   15.4,7,2,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
Punjab Kings,Rajasthan Royals,193,191,    18.4,"   
                    20",3,5,"[' Sharjah Cricket Stadium', ' Sharjah\n            ']"
Delhi Capitals,Kolkata Knight Riders,167,166,    19.3,"        
                    20",6,5,"[' Dubai International Stadium', ' Dubai\n            ']"
Royal Challengers Bangalore,Mumbai Indians,116,115,    17.3," 
                    20",3,9,"[' Dubai International Stadium', ' Dubai\n            ']"
Rajasthan Royals,Sunrisers Hyderabad,135,133,    19.3,"      
                    20",6,6,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
Punjab Kings,Chennai Super Kings,206,205,    18.5,"      
                    20",4,4,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
Royal Challengers Bangalore,Delhi Capitals,146,145,    16.4," 
                    20",2,4,"[' Sharjah Cricket Stadium', ' Sharjah\n            ']"
Kolkata Knight Riders,Mumbai Indians,163,122,    20," 
                    20",5,7,"[' Zayed Cricket Stadium', ' Abu Dhabi\n            ']"
